metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0011	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.48;lc018|0.29;lc004|0.23
mc.0064	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.74;lc012|0.18;lc004|0.05
mc.0114	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc003	lc003|0.93;lc004|0.05
mc.0129	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.89;lc004|0.11
mc.0101	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc003	lc003|0.41;lc004|0.26;lc037|0.14;lc013|0.10;lc018|0.08
mc.0032	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.73;lc004|0.25
mc.0083	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.37;lc004|0.35;lc019|0.17;lc018|0.10
mc.0066	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc004	lc004|0.47;lc018|0.31;lc003|0.22
mc.0108	gastrodermis	wheat1	gastrodermis	gastrodermis|0.70;epidermis|0.27	lc004	lc004|0.35;lc018|0.26;lc001|0.24
mc.0057	gastrodermis	wheat1	gastrodermis	gastrodermis|0.95	lc004	lc004|0.61;lc003|0.07;lc019|0.07;lc038|0.07;lc018|0.05;lc037|0.05
mc.0036	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.71;lc030|0.27
mc.0103	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc006	lc006|0.71;lc015|0.14;lc030|0.13
mc.0005	gastrodermis	wheat1	gastrodermis	gastrodermis|0.90;neurosecretory_progenitors|0.07	lc006	lc006|0.61;lc030|0.28
mc.0014	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc006	lc006|0.84;lc030|0.12
mc.0016	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.90
mc.0077	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.48;lc013|0.44;lc037|0.08
mc.0127	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc010	lc010|0.80
mc.0037	gastrodermis	wheat1	gastrodermis	gastrodermis|0.95	lc010	lc010|0.48;lc013|0.13;lc030|0.11;lc015|0.08;lc031|0.06
mc.0033	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.50;lc031|0.27;lc013|0.10;lc025|0.06
mc.0035	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.45;lc004|0.16;lc019|0.12;lc013|0.08;lc038|0.08;lc003|0.06
mc.0048	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|1.00
mc.0095	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.57;lc019|0.31;lc038|0.08
mc.0020	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.83;lc038|0.05
mc.0055	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc013	lc013|0.72;lc037|0.25
mc.0065	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc013	lc013|0.64;lc037|0.29
mc.0002	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc013	lc013|0.39;lc010|0.36;lc031|0.11;lc015|0.08
mc.0045	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc015	lc015|0.55;lc031|0.24;lc025|0.18
mc.0113	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc015	lc015|0.51;lc006|0.29;lc031|0.11;lc030|0.10
mc.0110	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc018	lc018|0.58;lc004|0.36
mc.0061	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc018	lc018|0.46;lc004|0.43
mc.0100	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc018	lc018|0.54;lc004|0.43
mc.0076	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc019	lc019|0.48;lc018|0.30;lc004|0.11;lc038|0.10
mc.0117	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc019	lc019|0.53;lc038|0.39;lc018|0.06
mc.0120	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc019	lc019|0.46;lc038|0.41;lc037|0.08
mc.0050	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc019	lc019|0.79;lc038|0.20
mc.0075	gastrodermis	wheat1	gastrodermis	gastrodermis|0.98	lc025	lc025|0.66;lc015|0.12;lc013|0.09;lc037|0.09
mc.0059	gastrodermis	wheat1	gastrodermis	gastrodermis|0.81;gastrodermis_alga_hosting|0.19	lc025	lc025|0.41;lc015|0.37;lc002|0.13;lc028|0.06
mc.0046	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc025	lc025|0.51;lc013|0.29;lc015|0.11;lc037|0.06
mc.0124	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc025	lc025|0.50;lc015|0.38;lc006|0.06
mc.0119	gastrodermis	wheat1	gastrodermis	gastrodermis|0.84;gastrodermis_alga_hosting|0.11	lc030	lc030|0.29;lc031|0.29;lc015|0.14;lc002|0.10;lc025|0.06;lc037|0.06
mc.0109	gastrodermis	wheat1	gastrodermis	gastrodermis|0.69;gastrodermis_alga_hosting|0.12;neuron_Isl|0.12;unknown_2|0.08	lc030	lc030|0.27;lc006|0.15;lc037|0.15;lc028|0.12;lc005|0.12;lc015|0.08;lc036|0.08
mc.0128	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc031	lc031|0.70;lc010|0.16;lc015|0.07;lc030|0.06
mc.0013	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc031	lc031|0.58;lc006|0.16;lc015|0.08;lc010|0.05;lc030|0.05;lc040|0.05
mc.0078	gastrodermis	wheat1	gastrodermis	gastrodermis|0.83;epidermis|0.11;gastrodermis_alga_hosting|0.06	lc037	lc037|0.61;lc030|0.11;lc026|0.11;lc004|0.06;lc013|0.06;lc002|0.06
mc.0010	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc038	lc038|0.32;lc018|0.18;lc019|0.18;lc004|0.14;lc013|0.13
mc.0040	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc040	lc040|0.79;lc012|0.07;lc031|0.07;lc010|0.06
mc.0015	gastrodermis	wheat1	gastrodermis	gastrodermis|0.53;gastrodermis_alga_hosting|0.47	lc002	lc002|0.30;lc015|0.21;lc028|0.17;lc006|0.13;lc030|0.11;lc025|0.07
mc.0067	gastrodermis	wheat1	gastrodermis	gastrodermis|0.59;unknown_3|0.38	lc011	lc011|0.38;lc015|0.16;lc030|0.16;lc006|0.14;lc025|0.11
mc.0098	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.92;gastrodermis|0.08	lc002	lc002|0.92;lc037|0.06
mc.0088	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.87;gastrodermis|0.13	lc002	lc002|0.80;lc028|0.07;lc025|0.06;lc015|0.05
mc.0081	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.77;gastrodermis|0.23	lc002	lc002|0.77;lc015|0.10;lc037|0.07
mc.0027	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.56;gastrodermis|0.44	lc002	lc002|0.53;lc040|0.22;lc015|0.11;lc031|0.06
mc.0009	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.97	lc002	lc002|0.83;lc028|0.14
mc.0118	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.93;gastrodermis|0.07	lc028	lc028|0.78;lc002|0.15
mc.0096	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.79;gastrodermis|0.21	lc028	lc028|0.54;lc002|0.25;lc015|0.18
mc.0093	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis_alga_hosting	gastrodermis_alga_hosting|0.81;gastrodermis|0.19	lc028	lc028|0.72;lc015|0.10;lc002|0.08;lc006|0.05
mc.0026	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc014	lc014|1.00
mc.0042	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.93;unknown_2|0.05	lc014	lc014|0.93;lc036|0.05
mc.0079	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc014	lc014|1.00
mc.0068	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.88;unknown_1|0.06	lc014	lc014|0.88;lc024|0.06
mc.0017	epidermis	cadetblue2	epidermis	epidermis|1.00	lc007	lc007|0.49;lc026|0.47
mc.0131	epidermis	cadetblue2	epidermis	epidermis|1.00	lc007	lc007|0.81;lc026|0.19
mc.0053	epidermis	cadetblue2	epidermis	epidermis|0.97	lc007	lc007|0.78;lc021|0.07;lc026|0.07
mc.0004	epidermis	cadetblue2	epidermis	epidermis|1.00	lc007	lc007|0.87;lc021|0.08;lc026|0.05
mc.0092	epidermis	cadetblue2	epidermis	epidermis|0.98	lc007	lc007|0.81;lc026|0.17
mc.0012	epidermis	cadetblue2	epidermis	epidermis|1.00	lc008	lc008|0.84;lc001|0.08;lc026|0.08
mc.0063	epidermis	cadetblue2	epidermis	epidermis|0.99	lc008	lc008|0.48;lc001|0.28;lc026|0.23
mc.0039	epidermis	cadetblue2	epidermis	epidermis|1.00	lc008	lc008|0.41;lc001|0.33;lc026|0.25
mc.0115	epidermis	cadetblue2	epidermis	epidermis|0.90;neurosecretory_progenitors|0.10	lc021	lc021|0.51;lc007|0.35;lc016|0.10
mc.0070	epidermis	cadetblue2	epidermis	epidermis|0.97	lc021	lc021|0.78;lc007|0.17
mc.0044	epidermis	cadetblue2	epidermis	epidermis|0.83;neurosecretory_progenitors|0.08	lc021	lc021|0.33;lc026|0.29;lc007|0.17;lc016|0.08
mc.0047	epidermis	cadetblue2	epidermis	epidermis|1.00	lc001	lc001|0.58;lc008|0.41
mc.0130	epidermis	cadetblue2	epidermis	epidermis|0.60;unknown_1|0.22;gastrodermis|0.11	lc001	lc001|0.40;lc024|0.22;lc026|0.18;lc004|0.09
mc.0106	epidermis	cadetblue2	epidermis	epidermis|1.00	lc001	lc001|0.51;lc008|0.49
mc.0029	epidermis	cadetblue2	epidermis	epidermis|1.00	lc001	lc001|0.71;lc008|0.28
mc.0116	epidermis	cadetblue2	epidermis	epidermis|0.99	lc001	lc001|0.82;lc008|0.13
mc.0049	epidermis	cadetblue2	epidermis	epidermis|1.00	lc001	lc001|0.56;lc026|0.23;lc008|0.21
mc.0094	epidermis	cadetblue2	epidermis	epidermis|1.00	lc001	lc001|0.61;lc008|0.37
mc.0111	epidermis	cadetblue2	epidermis	epidermis|0.85;unknown_1|0.15	lc001	lc001|0.71;lc024|0.15;lc008|0.10
mc.0105	epidermis	cadetblue2	epidermis	epidermis|0.53;neurosecretory_progenitors|0.21;calicoblast|0.18;unknown_2|0.05	lc026	lc026|0.50;lc016|0.21;lc022|0.18;lc036|0.05
mc.0054	epidermis	cadetblue2	epidermis	epidermis|0.94;neurosecretory_progenitors|0.06	lc045	lc045|0.51;lc021|0.31;lc007|0.09;lc016|0.06
mc.0086	calicoblast	mediumpurple1	calicoblast	calicoblast|1.00	lc009	lc009|0.79;lc022|0.21
mc.0122	calicoblast	mediumpurple1	calicoblast	calicoblast|1.00	lc009	lc009|0.62;lc022|0.38
mc.0008	calicoblast	mediumpurple1	calicoblast	calicoblast|1.00	lc009	lc009|0.85;lc022|0.15
mc.0082	calicoblast	mediumpurple1	calicoblast	calicoblast|1.00	lc009	lc009|0.94
mc.0038	calicoblast	mediumpurple1	calicoblast	calicoblast|0.93	lc022	lc022|0.81;lc009|0.13
mc.0043	calicoblast	mediumpurple1	calicoblast	calicoblast|0.93	lc022	lc022|0.59;lc009|0.34
mc.0121	calicoblast	mediumpurple1	calicoblast	calicoblast|0.55;gastrodermis|0.37;unknown_2|0.08	lc022	lc022|0.55;lc030|0.34;lc036|0.08
mc.0024	calicoblast	mediumpurple1	calicoblast	calicoblast|0.93	lc032	lc032|0.86
mc.0090	calicoblast	mediumpurple1	calicoblast	calicoblast|0.85;gastrodermis|0.08	lc032	lc032|0.85
mc.0023	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.83;epidermis|0.17	lc016	lc016|0.83;lc021|0.17
mc.0058	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|1.00	lc016	lc016|0.98
mc.0125	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.44;epidermis|0.39;gland_8|0.17	lc034	lc034|0.25;lc021|0.23;lc016|0.19;lc023|0.17;lc026|0.09;lc007|0.07
mc.0006	neurosecretory_progenitors	slategray3	neurosecretory_progenitors	neurosecretory_progenitors|0.88;unknown_3|0.07	lc034	lc034|0.55;lc016|0.33;lc011|0.07
mc.0007	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|0.94	lc017	lc017|0.93
mc.0107	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|0.74;gastrodermis|0.19;unknown_1|0.07	lc017	lc017|0.63;lc020|0.12;lc018|0.07;lc024|0.07
mc.0003	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|0.97	lc020	lc020|0.97
mc.0021	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|1.00	lc020	lc020|0.93;lc017|0.07
mc.0099	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|1.00	lc020	lc020|1.00
mc.0126	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|0.90;neuron_Pou4_Gsx|0.09	lc020	lc020|0.52;lc017|0.36;lc041|0.09
mc.0051	neuron_Pou4	royalblue1	neuron_Pou4	neuron_Pou4|0.99	lc042	lc042|0.96
mc.0084	neuron_Pou4_Gsx	royalblue3	neuron_Pou4_Gsx	neuron_Pou4_Gsx|0.92	lc041	lc041|0.92
mc.0052	neuron_Pou4_Otp	royalblue4	neuron_Pou4_Otp	neuron_Pou4_Otp|0.52;neuron_Pou4|0.38;neuron_Isl|0.06	lc047	lc047|0.52;lc017|0.38;lc005|0.06
mc.0074	neuron_Isl	steelblue1	neuron_Isl	neuron_Isl|0.99	lc005	lc005|0.99
mc.0025	neuron_Isl	steelblue1	neuron_Isl	neuron_Isl|0.87;neuron_Pou4|0.07	lc005	lc005|0.87;lc017|0.07
mc.0123	neuron_Isl	steelblue1	neuron_Isl	neuron_Isl|0.71;neuron_Pou4_Otp|0.21;neuron_Pou4|0.07	lc005	lc005|0.71;lc047|0.21;lc017|0.07
mc.0028	neuron_Isl	steelblue1	neuron_Isl	neuron_Isl|0.77;neurosecretory_progenitors|0.19	lc005	lc005|0.77;lc034|0.19
mc.0034	gland_1_Xbp	sienna1	gland_1_Xbp	gland_1_Xbp|0.97	lc044	lc044|0.97
mc.0031	gland_2	sienna2	gland_2	gland_2|0.90	lc035	lc035|0.90
mc.0102	gland_2	sienna2	gland_2	gland_2|0.95	lc035	lc035|0.95
mc.0041	gland_4	tan1	gland_4	gland_4|0.96	lc039	lc039|0.96
mc.0080	gland_5	tan2	gland_5	gland_5|0.92	lc043	lc043|0.92
mc.0071	gland_6	tan3	gland_6	gland_6|0.50;gland_3|0.30;gastrodermis|0.05	lc046	lc046|0.50;lc048|0.30
mc.0073	gland_8	darkorange2	gland_8	gland_8|0.99	lc023	lc023|0.92;lc027|0.07
mc.0085	gland_8	darkorange2	gland_8	gland_8|0.92	lc023	lc023|0.90
