Hvul_v3_XM_047281516.1	ENSP00000308312.6	58.2	588	217	4	1	583	1	564	1.7e-202	704.9
Hvul_v3_XM_012708374.2	ENSP00000409964.2	42.9	91	46	2	155	240	378	467	1.3e-08	59.7
Hvul_v3_XM_047279716.1	ENSP00000349708.4	23.7	211	150	7	238	441	878	1084	1.7e-09	63.9
Hvul_v3_XM_047289944.1	ENSP00000307701.3	46.0	265	134	3	4	262	7	268	2.1e-56	218.4
Hvul_v3_XM_047290684.1	ENSP00000440638.1	39.9	148	85	3	25	172	1	144	2.5e-18	91.3
Hvul_v3_XM_002160479.4	ENSP00000304044.6	28.9	128	79	5	185	309	63	181	2.6e-09	63.2
Hvul_v3_XM_002160375.4	ENSP00000188312.2	55.3	396	172	4	5	398	3	395	1.2e-129	462.2
Hvul_v3_XM_004206022.3	ENSP00000264258.3	70.8	120	35	0	2	121	4	123	8.0e-40	162.2
Hvul_v3_XM_002160602.4	ENSP00000232501.3	43.4	385	207	4	3	386	6	380	1.9e-95	348.6
Hvul_v3_XM_002160314.4	ENSP00000308533.6	34.1	232	145	4	22	245	45	276	9.4e-32	136.3
Hvul_v3_XM_047279725.1	ENSP00000262126.3	31.0	116	71	3	7	114	100	214	1.7e-05	51.2
Hvul_v3_XM_002154138.4	ENSP00000368686.3	46.9	403	111	6	23	323	12	413	1.4e-83	308.9
Hvul_v3_XM_012710214.2	ENSP00000363593.2	36.6	142	86	3	624	764	1704	1842	9.6e-21	102.1
Hvul_v3_XM_047270309.1	ENSP00000354791.3	30.4	398	168	6	12	399	28	326	1.7e-26	121.3
Hvul_v3_XM_047270379.1	ENSP00000367196.4	35.2	145	85	3	324	466	9	146	4.3e-14	82.0
Hvul_v3_XM_002160266.4	ENSP00000261772.8	57.0	965	397	9	43	996	6	963	0.0e+00	1087.0
Hvul_v3_XM_002157300.4	ENSP00000360436.1	31.3	419	235	8	119	529	26	399	4.6e-55	214.9
Hvul_v3_XM_047270685.1	ENSP00000499018.1	43.9	551	296	6	53	595	29	574	4.0e-137	487.6
Hvul_v3_XM_047270897.1	ENSP00000319918.6	34.5	591	347	14	31	607	48	612	1.6e-85	316.2
