Ocupat_v02_G000002.t0	ENSP00000323275.3	46.7	422	217	3	1	420	1	416	4.8e-68	257.7
Ocupat_v02_G000003.t0	ENSP00000258662.1	54.3	140	64	0	8	147	10	149	6.0e-43	172.9
Ocupat_v02_G000004.t0	ENSP00000419243.2	56.2	121	53	0	65	185	89	209	2.4e-35	147.9
Ocupat_v02_G000005.t0	ENSP00000458143.1	83.1	77	13	0	5	81	8	84	4.0e-40	162.5
Ocupat_v02_G000006.t0	ENSP00000368540.2	35.2	318	151	24	685	965	795	1094	5.9e-16	85.9
Ocupat_v02_G000007.t0	ENSP00000317788.4	34.8	448	193	8	101	456	21	461	1.0e-52	206.8
Ocupat_v02_G000008.t0	ENSP00000426745.1	46.8	916	413	12	9	894	5	876	4.3e-207	720.7
Ocupat_v02_G000009.t0	ENSP00000456648.2	49.4	668	313	9	1	657	1	654	5.9e-177	620.2
Ocupat_v02_G000010.t0	ENSP00000369757.4	74.5	243	61	1	1	243	1	242	2.3e-94	344.4
Ocupat_v02_G000011.t0	ENSP00000497509.1	67.8	540	160	3	7	533	9	547	5.1e-216	749.6
Ocupat_v02_G000012.t0	ENSP00000295682.5	58.8	114	47	0	1	114	1	114	3.5e-33	140.2
Ocupat_v02_G000013.t0	ENSP00000371180.1	30.5	550	317	13	216	735	19	533	2.0e-45	183.3
Ocupat_v02_G000014.t0	ENSP00000244217.5	64.4	163	57	1	18	180	15	176	4.0e-56	216.9
Ocupat_v02_G000015.t0	ENSP00000247706.2	49.2	246	122	2	78	321	176	420	1.3e-62	240.0
Ocupat_v02_G000017.t0	ENSP00000334564.3	45.3	534	274	6	1	523	1	527	8.5e-123	439.9
Ocupat_v02_G000018.t0	ENSP00000380157.3	60.2	161	53	2	78	238	36	185	8.5e-49	193.0
Ocupat_v02_G000019.t0	ENSP00000386306.1	38.2	1836	948	31	372	2060	97	1893	0.0e+00	1094.3
Ocupat_v02_G000020.t0	ENSP00000256759.3	36.7	256	127	9	102	346	85	316	1.3e-38	159.8
Ocupat_v02_G000021.t0	ENSP00000286096.5	28.1	231	148	8	45	261	190	416	3.5e-18	92.0
Ocupat_v02_G000023.t0	ENSP00000454659.1	40.5	121	69	1	451	568	279	399	1.8e-17	90.1
Ocupat_v02_G000024.t0	ENSP00000454659.1	42.0	226	131	0	8	233	404	629	7.4e-46	183.3
Ocupat_v02_G000025.t0	ENSP00000467087.3	53.3	45	21	0	80	124	83	127	9.0e-03	40.0
Ocupat_v02_G000032.t0	ENSP00000397711.1	39.8	88	50	3	23	109	27	112	2.0e-08	58.2
Ocupat_v02_G000033.t0	ENSP00000292614.5	78.6	117	25	0	1	117	1	117	9.5e-51	198.4
Ocupat_v02_G000034.t0	ENSP00000301280.4	35.0	434	203	10	320	728	454	833	7.4e-31	135.2
Ocupat_v02_G000035.t0	ENSP00000463650.1	38.8	286	121	8	2	254	9	273	2.1e-45	181.8
Ocupat_v02_G000036.t2	ENSP00000367756.3	50.9	1641	704	26	1	1594	1	1586	0.0e+00	1483.8
Ocupat_v02_G000038.t0	ENSP00000473086.1	51.5	101	45	3	1	101	1	97	5.1e-19	92.8
Ocupat_v02_G000039.t0	ENSP00000355480.1	69.1	149	46	0	26	174	13	161	1.6e-57	221.5
Ocupat_v02_G000042.t0	ENSP00000265018.3	28.7	136	88	3	10	137	29	163	8.7e-06	50.8
Ocupat_v02_G000043.t0	ENSP00000303058.6	44.2	1062	491	21	5	1047	6	984	7.1e-214	743.4
Ocupat_v02_G000044.t0	ENSP00000384725.3	36.2	329	165	9	68	376	199	502	3.1e-44	178.7
Ocupat_v02_G000045.t0	ENSP00000384725.3	30.4	372	170	11	54	404	199	502	2.2e-40	166.0
Ocupat_v02_G000046.t0	ENSP00000384725.3	43.4	221	113	4	35	252	168	379	2.9e-44	179.1
Ocupat_v02_G000047.t0	ENSP00000384725.3	32.3	297	163	8	43	309	169	457	1.3e-34	146.7
Ocupat_v02_G000048.t0	ENSP00000384725.3	33.8	358	158	10	78	407	196	502	1.8e-42	172.9
Ocupat_v02_G000049.t1	ENSP00000384725.3	31.9	382	191	10	443	816	182	502	6.2e-41	168.7
Ocupat_v02_G000050.t0	ENSP00000384725.3	28.8	430	142	9	79	506	235	502	4.1e-41	168.7
Ocupat_v02_G000051.t0	ENSP00000384725.3	53.4	133	58	3	96	224	245	377	1.4e-33	142.9
Ocupat_v02_G000052.t1	ENSP00000384725.3	32.3	362	173	11	133	480	198	501	8.1e-39	161.0
Ocupat_v02_G000053.t0	ENSP00000314638.3	41.2	670	339	21	57	700	59	699	8.7e-139	493.4
Ocupat_v02_G000054.t0	ENSP00000355261.5	41.0	283	147	4	21	289	22	298	2.0e-57	221.9
Ocupat_v02_G000055.t0	ENSP00000355261.5	27.9	696	444	22	196	855	302	975	2.6e-39	163.3
Ocupat_v02_G000059.t0	ENSP00000453435.1	59.9	828	223	16	3	785	4	767	1.2e-250	865.1
Ocupat_v02_G000060.t0	ENSP00000331849.3	46.3	67	32	2	47	112	74	137	2.5e-08	57.4
Ocupat_v02_G000061.t0	ENSP00000305494.6	41.6	789	380	13	10	794	14	725	4.0e-159	562.0
Ocupat_v02_G000062.t0	ENSP00000351250.2	26.9	283	169	10	13	271	124	392	1.3e-23	109.4
Ocupat_v02_G000063.t0	ENSP00000488751.1	32.1	81	48	1	44	117	3	83	4.6e-05	46.6
Ocupat_v02_G000064.t0	ENSP00000260408.3	30.5	721	385	26	20	647	8	705	2.4e-78	292.7
Ocupat_v02_G000065.t0	ENSP00000299638.3	52.0	50	24	0	6	55	15	64	6.5e-04	43.9
Ocupat_v02_G000066.t0	ENSP00000357507.4	29.2	195	120	5	16	203	8	191	6.4e-15	80.5
Ocupat_v02_G000067.t0	ENSP00000364270.5	52.3	241	107	4	1	237	37	273	7.8e-60	229.6
Ocupat_v02_G000068.t0	ENSP00000343190.3	55.1	196	86	2	1	195	1	195	8.6e-60	229.2
Ocupat_v02_G000069.t0	ENSP00000264710.4	62.0	171	65	0	9	179	3	173	1.1e-60	232.3
Ocupat_v02_G000076.t0	ENSP00000221957.3	31.1	135	79	4	2	136	7	127	1.2e-06	53.9
Ocupat_v02_G000080.t0	ENSP00000363779.5	46.9	1352	677	14	1	1332	1	1331	0.0e+00	1181.0
Ocupat_v02_G000081.t0	ENSP00000304923.3	30.9	181	92	8	194	359	198	360	1.5e-04	46.6
Ocupat_v02_G000084.t0	ENSP00000304923.3	32.0	175	86	9	200	359	204	360	1.5e-04	46.6
Ocupat_v02_G000085.t0	ENSP00000296140.3	25.2	310	184	10	45	344	43	314	1.0e-14	80.5
Ocupat_v02_G000086.t0	ENSP00000377948.2	25.2	302	200	9	38	323	52	343	2.4e-17	90.1
Ocupat_v02_G000090.t0	ENSP00000436422.1	35.4	240	141	4	276	505	36	271	4.6e-33	141.7
Ocupat_v02_G000091.t0	ENSP00000249364.4	32.5	231	140	6	36	251	70	299	1.0e-20	99.8
Ocupat_v02_G000101.t0	ENSP00000308944.5	44.2	824	412	11	683	1487	215	1009	1.2e-179	630.2
Ocupat_v02_G000102.t0	ENSP00000340836.6	58.4	166	63	2	1472	1631	49	214	6.6e-33	142.9
