ko	uniprot_entry	ensembl_transcript	name	name_long
K00002	Q9JII6	Mmus_ENSMUST00000030455	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00006	P13707	Mmus_ENSMUST00000023760	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00006	Q3ULJ0	Mmus_ENSMUST00000084853	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00006	Q3ULJ0	Mmus_ENSMUST00000146623	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00008	Q64442	Mmus_ENSMUST00000110551	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00011	P21300	Mmus_ENSMUST00000007449	AKR1B	aldehyde reductase [EC:1.1.1.21]
K00011	G5E895	Mmus_ENSMUST00000038383	AKR1B	aldehyde reductase [EC:1.1.1.21]
K00011	P45377	Mmus_ENSMUST00000038406	AKR1B	aldehyde reductase [EC:1.1.1.21]
K00011	P45376	Mmus_ENSMUST00000102980	AKR1B	aldehyde reductase [EC:1.1.1.21]
K00012	O70475	Mmus_ENSMUST00000031103	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00016	P06151	Mmus_ENSMUST00000005051	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	P00342	Mmus_ENSMUST00000014545	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	P16125	Mmus_ENSMUST00000032373	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	P06151	Mmus_ENSMUST00000048209	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	Q8BVP2	Mmus_ENSMUST00000189788	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00016	P16125	Mmus_ENSMUST00000239397	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00019	Q80XN0	Mmus_ENSMUST00000089759	BDH1, bdhA	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00019	Q80XN0	Mmus_ENSMUST00000115226	BDH1, bdhA	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00019	Q80XN0	Mmus_ENSMUST00000115227	BDH1, bdhA	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	Q99L13	Mmus_ENSMUST00000031788	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	Q01237	Mmus_ENSMUST00000022176	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	Q61425	Mmus_ENSMUST00000029610	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00025	P14152	Mmus_ENSMUST00000102874	MDH1	malate dehydrogenase [EC:1.1.1.37]
K00025	P14152	Mmus_ENSMUST00000239073	MDH1	malate dehydrogenase [EC:1.1.1.37]
K00026	P08249	Mmus_ENSMUST00000019323	MDH2	malate dehydrogenase [EC:1.1.1.37]
K00027	Q99KE1	Mmus_ENSMUST00000025439	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00029	Q8BMF3	Mmus_ENSMUST00000032856	maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00029	P06801	Mmus_ENSMUST00000034989	maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	P70404	Mmus_ENSMUST00000052761	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00030	Q8BPC6	Mmus_ENSMUST00000119710	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00030	Q9D6R2	Mmus_ENSMUST00000167866	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	O88844	Mmus_ENSMUST00000097709	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]
K00031	P54071	Mmus_ENSMUST00000107384	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]
K00031	O88844	Mmus_ENSMUST00000169032	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]
K00033	Q9DCD0	Mmus_ENSMUST00000084124	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00036	Q00612	Mmus_ENSMUST00000004327	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00036	G3UWD6	Mmus_ENSMUST00000053876	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00044	P51656	Mmus_ENSMUST00000019445	HSD17B1	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00049	Q91Z53	Mmus_ENSMUST00000045078	GRHPR	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00058	Q61753	Mmus_ENSMUST00000065793	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00061	O55240	Mmus_ENSMUST00000026406	RDH5	11-cis-retinol dehydrogenase [EC:1.1.1.315]
