cluster	cell_type	color	broad_cell_type	cluster_class	legacy_annotation_string
lc004	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc010	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc023	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc033	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc034	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc037	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc045	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc050	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc067	gastrodermis_1	wheat1	gastrodermis	leiden	gastrodermis_1(1.00)
lc001	gastrodermis_2	wheat2	gastrodermis	leiden	gastrodermis_2(1.00)
lc015	gastrodermis_2	wheat2	gastrodermis	leiden	gastrodermis_2(1.00)
lc035	gastrodermis_2	wheat2	gastrodermis	leiden	gastrodermis_2(1.00)
lc041	gastrodermis_2	wheat2	gastrodermis	leiden	gastrodermis_2(1.00)
lc056	gastrodermis_2	wheat2	gastrodermis	leiden	gastrodermis_2(1.00)
lc003	gastrodermis_like	wheat3	gastrodermis	leiden	gastrodermis_like(1.00)
lc011	gastrodermis_like	wheat3	gastrodermis	leiden	gastrodermis_like(1.00)
lc051	gastrodermis_like	wheat3	gastrodermis	leiden	gastrodermis_like(1.00)
lc057	gastrodermis_like	wheat3	gastrodermis	leiden	gastrodermis_like(1.00)
lc018	gastrodermis_mitotic	cornsilk2	gastrodermis	leiden	gastrodermis_mitotic(1.00)
lc066	gastrodermis_muscle	burlywood4	gastrodermis	leiden	gastrodermis_muscle(1.00)
lc002	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc006	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
