metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0139	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.79;lc006|0.20
mc.0084	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|1.00
mc.0013	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.98
mc.0010	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc001	lc001|0.86;lc002|0.06
mc.0160	gastrodermis	wheat1	gastrodermis	gastrodermis|0.84;gastrodermis_muscle|0.13	lc001	lc001|0.80;lc024|0.12
mc.0023	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc001	lc001|0.90
mc.0166	gastrodermis	wheat1	gastrodermis	gastrodermis|0.82;gastrodermis_muscle|0.18	lc001	lc001|0.82;lc024|0.18
mc.0109	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.97
mc.0051	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.97
mc.0144	gastrodermis	wheat1	gastrodermis	gastrodermis|0.98	lc006	lc006|0.94
mc.0058	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.85;lc008|0.12
mc.0065	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc006	lc006|0.98
mc.0158	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc008	lc008|0.65;lc006|0.35
mc.0032	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc008	lc008|0.99
mc.0167	gastrodermis	wheat1	gastrodermis	gastrodermis|0.53;digestive_filaments|0.33;gastrodermis_muscle|0.14	lc008	lc008|0.53;lc007|0.33;lc020|0.14
mc.0053	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc008	lc008|0.78;lc006|0.22
mc.0040	gastrodermis	wheat1	gastrodermis	gastrodermis|0.93	lc009	lc009|0.90
mc.0130	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc009	lc009|0.99
mc.0107	gastrodermis	wheat1	gastrodermis	gastrodermis|0.71;gastrodermis_muscle|0.12;digestive_filaments|0.09	lc009	lc009|0.39;lc024|0.12;lc001|0.09;lc002|0.09;lc007|0.09;lc006|0.06
mc.0157	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc009	lc009|0.72;lc008|0.28
mc.0093	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc009	lc009|0.91;lc033|0.07
mc.0155	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc009	lc009|0.42;lc008|0.27;lc006|0.15;lc001|0.14
mc.0018	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc009	lc009|1.00
mc.0152	gastrodermis	wheat1	gastrodermis	gastrodermis|0.51;gastrodermis_muscle|0.31;gastrodermis_like_2|0.18	lc003	lc003|0.47;lc020|0.31;lc038|0.18
mc.0100	gastrodermis	wheat1	gastrodermis	gastrodermis|0.66;gastrodermis_like_2|0.31	lc003	lc003|0.41;lc038|0.31;lc026|0.25
mc.0003	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc003	lc003|0.97
mc.0118	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|1.00
mc.0039	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.87;lc026|0.13
mc.0085	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc003	lc003|0.99
mc.0026	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc003	lc003|0.96
mc.0137	gastrodermis	wheat1	gastrodermis	gastrodermis|0.62;gastrodermis_muscle|0.37	lc003	lc003|0.62;lc020|0.37
mc.0126	gastrodermis	wheat1	gastrodermis	gastrodermis|0.86;gastrodermis_muscle|0.14	lc026	lc026|0.71;lc003|0.14;lc020|0.14
mc.0148	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc026	lc026|0.94
mc.0091	gastrodermis	wheat1	gastrodermis	gastrodermis|0.98	lc026	lc026|0.87;lc002|0.08
mc.0077	gastrodermis	wheat1	gastrodermis	gastrodermis|0.94	lc030	lc030|0.87;lc033|0.07
mc.0083	gastrodermis	wheat1	gastrodermis	gastrodermis|0.94;gastrodermis_muscle|0.06	lc030	lc030|0.75;lc003|0.14;lc020|0.06
mc.0071	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc033	lc033|0.49;lc030|0.47
mc.0097	gastrodermis	wheat1	gastrodermis	gastrodermis|0.95	lc033	lc033|0.93
mc.0087	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc033	lc033|0.92
mc.0163	gastrodermis	wheat1	gastrodermis	gastrodermis|0.64;gastrodermis_muscle|0.36	lc002	lc002|0.53;lc024|0.36;lc033|0.08
mc.0147	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc002	lc002|0.51;lc028|0.49
mc.0066	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc002	lc002|0.56;lc028|0.42
mc.0162	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc002	lc002|0.88;lc028|0.12
mc.0038	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc002	lc002|0.99
mc.0035	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc002	lc002|0.87
mc.0047	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc002	lc002|0.78;lc028|0.15
mc.0021	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc028	lc028|0.54;lc002|0.46
mc.0134	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc028	lc028|0.49;lc002|0.43
mc.0131	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc028	lc028|0.58;lc002|0.41
mc.0168	gastrodermis	wheat1	gastrodermis	gastrodermis|0.84;gastrodermis_muscle|0.15	lc034	lc034|0.83;lc024|0.15
mc.0090	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc034	lc034|0.62;lc028|0.23;lc002|0.15
mc.0009	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc034	lc034|0.55;lc002|0.40
